File,ChangeType,FileHuman,WorkingDir,PrevName,severity,severityIcon
classes/ServiceBuilderController.cls," ",ApexClass ServiceBuilderController,M,,log,📰
classes/TimeSheetHandler.cls,A,ApexClass TimeSheetHandler,,,log,📰
classes/TimeSheetHandler.cls-meta.xml,A,ApexClass TimeSheetHandler,,,log,📰
cleanDataServices/DataCloudGeoLocation.cleanDataService-meta.xml," ",CleanDataService DataCloudGeoLocation,M,,log,📰
dashboards/BusinessSupport.dashboardFolder-meta.xml," ",Dashboard BusinessSupportFolder-meta.xml,M,,log,📰
dashboards/ContractManager.dashboardFolder-meta.xml," ",Dashboard ContractManagerFolder-meta.xml,M,,log,📰
dashboards/Management.dashboardFolder-meta.xml," ",Dashboard ManagementFolder-meta.xml,M,,log,📰
flexipages/Home_Page_Business_Support.flexipage-meta.xml," ",FlexiPage Home_Page_Business_Support,M,,log,📰
flexipages/Operational_Account_Record_Page.flexipage-meta.xml," ",FlexiPage Operational_Account_Record_Page,M,,log,📰
flexipages/Service_Contract_Record_Page.flexipage-meta.xml," ",FlexiPage Service_Contract_Record_Page,M,,log,📰
flexipages/Work_Order_Record_Page.flexipage-meta.xml," ",FlexiPage Work_Order_Record_Page,M,,log,📰
flowDefinitions/TimeSheet_Record_Trigger_Set_Contract_Hours.flowDefinition-meta.xml," ",FlowDefinition TimeSheet_Record_Trigger_Set_Contract_Hours,M,,log,📰
flowDefinitions/Work_Order_Mobile_Flow_Screen_Flow_Log_Mileage.flowDefinition-meta.xml," ",FlowDefinition Work_Order_Mobile_Flow_Screen_Flow_Log_Mileage,M,,log,📰
flows/TimeSheet_Record_Trigger_Set_Contract_Hours.flow-meta.xml," ",Flow TimeSheet_Record_Trigger_Set_Contract_Hours,M,,log,📰
flows/Work_Order_Mobile_Flow_Screen_Flow_Log_Mileage.flow-meta.xml," ",Flow Work_Order_Mobile_Flow_Screen_Flow_Log_Mileage,M,,log,📰
layouts/Contact-Contact Layout.layout-meta.xml," ",Layout Contact-Contact Layout,M,,log,📰
layouts/MaintenancePlan-Maintenance Plan Layout.layout-meta.xml," ",Layout MaintenancePlan-Maintenance Plan Layout,M,,log,📰
lwc/locationMonitor/locationMonitor.css," ",LightningComponentBundle locationMonitor/locationMonitor.css,M,,log,📰
lwc/locationMonitor/locationMonitor.html," ",LightningComponentBundle locationMonitor/locationMonitor.html,M,,log,📰
lwc/locationMonitor/locationMonitor.js," ",LightningComponentBundle locationMonitor/locationMonitor.js,M,,log,📰
lwc/serviceBuilder/serviceBuilder.js," ",LightningComponentBundle serviceBuilder/serviceBuilder.js,M,,log,📰
objects/MaintenancePlan/compactLayouts/Maintenance_Plan.compactLayout-meta.xml,A,CompactLayout Maintenance_Plan,,,log,📰
objects/ServiceAppointment/fields/Original_Due_Date__c.field-meta.xml,A,CustomField Original_Due_Date__c,,,log,📰
objects/ServiceAppointment/fields/Original_Earliest_Start_Permitted__c.field-meta.xml,A,CustomField Original_Earliest_Start_Permitted__c,,,log,📰
permissionsetgroups/Operator_Outdoor_Permission_Set_Group.permissionsetgroup-meta.xml," ",PermissionSetGroup Operator_Outdoor_Permission_Set_Group,M,,log,📰
permissionsets/APEX_Class_Access_Mobile_Operator.permissionset-meta.xml,A,PermissionSet APEX_Class_Access_Mobile_Operator,,,log,📰
profiles/Admin.profile-meta.xml," ",Profile Admin,M,,log,📰
profiles/Analytics Cloud Integration User.profile-meta.xml," ",Profile Analytics Cloud Integration User,M,,log,📰
profiles/Analytics Cloud Security User.profile-meta.xml," ",Profile Analytics Cloud Security User,M,,log,📰
profiles/Business Support.profile-meta.xml," ",Profile Business Support,M,,log,📰
profiles/CPQ Integration User.profile-meta.xml," ",Profile CPQ Integration User,M,,log,📰
profiles/Chatter External User.profile-meta.xml," ",Profile Chatter External User,M,,log,📰
profiles/Chatter Free User.profile-meta.xml," ",Profile Chatter Free User,M,,log,📰
profiles/Chatter Moderator User.profile-meta.xml," ",Profile Chatter Moderator User,M,,log,📰
profiles/Contract Manager %28custom%29.profile-meta.xml," ",Profile Contract Manager %28custom%29,M,,log,📰
profiles/ContractManager.profile-meta.xml," ",Profile ContractManager,M,,log,📰
profiles/Customer Community Plus User.profile-meta.xml," ",Profile Customer Community Plus User,M,,log,📰
profiles/External Operator.profile-meta.xml," ",Profile External Operator,M,,log,📰
